number,name,name_object,date,author,address,district,protection_category,base,note,id_object
3662,Монастырь Воскресенский Новодевичий,Собор Воскресенский,1848-1861,арх. Ефимов Н.Е.,"Московский пр., 100",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3871
3663,Монастырь Воскресенский Новодевичий,Церковь Казанская,1907-1914,арх. Косяков Вас.А.,"Московский пр., 100",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3875
3664,,Богадельня им. П.И. Чубыкина (при Громовском старообрядческом кладбище),"1896-1899, 1908",арх. П.И. Гилев,"Московский пр., 108, лит. Д",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4137
3665,,Заводоуправление Товарищества Петербургского вагоностроительного завода,1897-1899,инж. Н.А. Архангельский,"Московский пр., 115, лит. А",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-676 от 19.10.2011,,4140
3666,,"Слесарно-сборная мастерская Петербургского товарищества вагоностроительного завода синдиката вагоностроительных заводов ""Продвагон""",1913,гражд. инж. Г.Х. Розовский,"Московский пр., 115, лит. В",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-676 от 19.10.2011,,4144
3667,,Здание малярной мастерской Санкт-Петербургского вагоностроительного завода,1912-1914,арх. Розовский Г.И.,"Московский пр., 115; Заставская ул., 40",Московский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,3970
3668,,Дом Мальцева (?),1910,гражд. инж. С.А. Баранкеев,"Московский пр., 126",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4146
3669,,Здание Московского райсовета,1930-1935,"архитекторы И.И. Фомин, В.Г. Даугуль, Б.М. Серебровский","Московский пр., 129",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4147
3670,,Жилые дома (2 здания),1938-1940,"архитекторы Е.А. Левинсон, И.И. Фомин, М.П. Савкевич","Московский пр., 145; Московский пр.,147; Благодатная ул., 26",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4148
3671,Жилые дома (2 здания),Здание 1,1938-1940,"архитекторы Е.А. Левинсон, И.И. Фомин, М.П. Савкевич","Московский пр., 145",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4149
3672,Жилые дома (2 здания),Здание 2,1938-1940,"архитекторы Е.А. Левинсон, И.И. Фомин, М.П. Савкевич","Московский пр.,147; Благодатная ул., 26",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4150
3673,,Жилые дома (4 здания),1938-1940,арх. Вяч. В. Попов,"Московский пр., 157, 159, 161, 163 (лицевые корпуса)",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4153
3674,Жилые дома (4 здания),Здание 1,1938-1940,арх. Вяч. В. Попов,"Московский пр., 157",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4154
3675,Жилые дома (4 здания),Здание 2,1938-1940,арх. Вяч. В. Попов,"Московский пр., 159,",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4155
3676,Жилые дома (4 здания),Здание 3,1938-1940,арх. Вяч. В. Попов,"Московский пр., 161",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4156
3677,Жилые дома (4 здания),Здание 4,1938-1940,арх. Вяч. В. Попов,"Московский пр., 163",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4157
3678,,Парк Победы Московский,"19 в., 1940-е",,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3971
3679,Парк Победы Московский,Вазы на каменных пилонах (две),1950-е,,"Бассейная ул., у входа в парк",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3972
3680,Парк Победы Московский,Вазы на каменных пилонах (две),1950-е,,"Кузнецовская ул., у входа в парк",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3973
3681,Парк Победы Московский,Мосты (одиннадцать),1950-е,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10468
3682,Парк Победы Московский,"Каналы Восточный, Северный, Южный",1950-е,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3974
3683,Парк Победы Московский,Летний театр,1957,арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3975
3684,Парк Победы Московский,Мемориальная зона бывшего кирпичного завода (крематория),19 в.кон.-20 в. 1-я пол.,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3976
3685,Парк Победы Московский,Павильон на Флотской аллее (лодочная станция),1959,арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3977
3686,Парк Победы Московский,Павильон Насосный,1950-е,арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3989
3687,Парк Победы Московский,"Павильон ""Терраса"" (Молочный буфет)",1955,арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3990
3688,Парк Победы Московский,"Павильон шахматно-шашечный (кинотеатр ""Глобус"")",1952,арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3991
3689,Парк Победы Московский,"Памятник Космодемьянской З.А., Герою Советского Союза",1951,"ск. Манизер М.Г., арх. Кирхоглани В.Д.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3992
3690,Парк Победы Московский,Памятник Дьен Р.,1953,"ск. Дивеева Ц.И., арх. Кирхоглани В.Д.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3993
3691,Парк Победы Московский,"Памятник Матросову А.М., Герою Советского Союза",1951,"ск. Эйдлин Л.Ю., арх. Кирхоглани В.Д.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3994
3692,Парк Победы Московский,Парк,1939-1940; 1945-1946; 1950; 1978-1988,"арх. Дубяго Т.Б., арх. Катонин Е.И.; арх. Катонин Е.И., арх. Кирхоглани В.Д.; арх. Кирхоглани В.Д.; арх. Кирхоглани В.Д.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3995
3693,Парк Победы Московский,Подстанция трансформаторная,1950-е,арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3996
3694,Парк Победы Московский,"Постаменты для скульптур львов на Квадратных прудах (два), 1950-е гг.",1950-е,арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3997
3695,Парк Победы Московский,Пропилеи,1953,"арх. Кирхоглани В.Д., ск. Носков И.И., ск. Кирсанов С.Т., ск. Безруков В.Н., ск. Сыроежкин И.А., ск. Мошкарев В.В.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3998
3696,Парк Победы Московский,Пруд Адмиралтейский,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,3999
3697,Парк Победы Московский,Пруд Детский,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4000
3698,Парк Победы Московский,Пруд Капитанский,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4001
3699,Парк Победы Московский,Пруд Корабельный,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4002
3700,Парк Победы Московский,Пруд Матросский,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4003
3701,Парк Победы Московский,"Пруд ""Очки"" (два Квадратных пруда)",,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4004
3702,Парк Победы Московский,Пруд Пейзажный,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4005
3703,Парк Победы Московский,Пруд Фигурный,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4006
3704,Парк Победы Московский,Пруд Фонтанный,,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4007
3705,Парк Победы Московский,"Скульптура ""Братья по  оружию""",1945; 1977,ск. Покорны Н.; арх. Кирхоглани В.Д.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4008
3706,Парк Победы Московский,"Скульптура ""Мальчик с корабликом""",1950-е,ск. Дрок Л.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4009
3707,Парк Победы Московский,"Скульптура ""Мальчик с рыбкой""",1950-е,ск. Мотовилова М.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4010
3708,Парк Победы Московский,"Скульптура ""Прием в пионеры""",1950-е,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4011
3709,Парк Победы Московский,"Скульптура ""Физкультурницы""",1950-е,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4012
3710,Парк Победы Московский,Спуски гранитные (четыре),1950-е; 1980-1990-е,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4013
3711,Парк Победы Московский,"Фонтан ""Мальчик""",1950-е,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4014
3712,Парк Победы Московский,"Фонтан ""Слава""",1950-е,,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4015
3713,Парк Победы Московский,"Памятник Богданову С. И., дважды Герою Советского Союза",1953,"ск. Кербель Л.Е., арх. Шепилевский М.А.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4016
3714,Парк Победы Московский,"Памятник Голубеву В.М., дважды Герою Советского Союза",1948,"ск. Шварц Д.П., арх. Шепилевский М.А.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4017
3715,Парк Победы Московский,"Памятник Осипову В.Н., дважды Герою Советского Союза",1948,"ск. Шапошников С.Д., арх. Шепилевский М.А.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4018
3716,Парк Победы Московский,"Памятник Ракову В.И., дважды Герою Советского Союза",1950,"ск. Кирпичникова Т.С., арх. Шепилевский М.А.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4019
3717,Парк Победы Московский,"Памятник Федорову Е.П., дважды Герою Советского Союза",1950,"ск. Шапошников С.Д., арх. Лукин Я.Н.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4020
3718,Парк Победы Московский,"Памятник Челнокову Н.В., дважды Герою Советского Союза",1951,"ск. Соколов Н.А., арх. Егоров М.Ф.","Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4021
3719,Парк Победы Московский,"Скульптура ""Тыл""",1950-е,ск. Горенышев Н.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4022
3720,Парк Победы Московский,"Скульптура ""Фронт""",1950-е,ск. Разумовский Л.С.,"Московский пр., 188, Бассейная ул., Кузнецовская ул., Юрия Гагарина пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4023
3721,,Жилой дом,"1940-1941, 1953","архитекторы Б.Р. Рубаненко, Г.А. Симонов, С.В. Васильковский, Л.М. Хидекель","Московский пр., 190; Бассейная ул., 41",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4158
3722,,Жилые дома Ленсовета (2 здания),1937-1940,"архитекторы А.И. Гегелло, С.В. Васильковский","Московский пр., 206, лит. А, 208, лит. А",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП от 25.05.2020 № 168-р,,4159
3723,Жилые дома Ленсовета (2 здания),Жилой дом Ленсовета,1937-1940,"архитекторы А.И. Гегелло, С.В. Васильковский","Московский пр., 206, лит. А",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП от 25.05.2020 № 168-р,,4160
3724,Жилые дома Ленсовета (2 здания),Жилой дом Ленсовета,1937-1940,"архитекторы А.И. Гегелло, С.В. Васильковский","Московский пр., 208, лит. А",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП от 25.05.2020 № 168-р,,4161
3725,,Дом Советов,1936-1941,"арх. Троцкий Н.А., арх. Тверской Л.М., арх. Свирский Я.О., арх. Лукин Я.Н., ск. Томский Н.В., ск. Крестовский И.В.","Московский пр., 212",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4099
3726,,Ночлежный дом в память А.Е.Прокофьева,1900-1901,арх. И.П. Соколов,"Московский пр., 87, лит. А",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-28 от 29.09.2009,,4119
3727,,Комплекс построек акционерного общества “Просвещение” Н.С. Цетлина и А. Мейера,1906-1907,гражд.инж. М.Ю. Капелинский,"Московский пр., 93, лит. А, Б, В",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-24 от 01.12.2010,,4121
3728,,Богадельня и детский приют Мещанского общества,1864-1879,"архитекторы В.А. Шретер, Э.К. Вергейм, В.А. Кенель, П.Ю. Сюзор","Московский пр., 95; Детский пер., 1, 3",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4126
3729,Богадельня и детский приют Мещанского общества,Флигель,1870-е,автор не установлен,"Детский пер., 3",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4128
3730,Богадельня и детский приют Мещанского общества,Главное здание,"1864-1870; 1875-1879 (расширение, устройство домовой церкви)","архитекторы В.А. Шретер, Э.К. Вергейм, В.А. Кенель, П.Ю. Сюзор","Московский пр., 95; Детский пер., 1",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4127
3731,,Здание школы,1937,арх. С.В. Васильковский,"Московский пр., 96, лит. А, за исключением помещений 9-Н (6-12), 12-Н (8)",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-24 от 01.12.2010,,4129
3732,,Комплекс построек Бактериологической лаборатории Ветеринарного управления МВД (с оградой),1905,гражд.инж. А.К. Монтаг,"Московский пр., 99; Ташкентская ул., б/№ (1)",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4132
3733,Комплекс построек Бактериологической лаборатории Ветеринарного управления МВД (с оградой),Корпус для подопытных животных,1905,гражд.инж. А.К. Монтаг,"Московский пр., 99; Ташкентская ул., б/№ (1), двор",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4135
3734,Комплекс построек Бактериологической лаборатории Ветеринарного управления МВД (с оградой),Ограда,1905,гражд.инж. А.К. Монтаг,"Московский пр., 99; Ташкентская ул., б/№ (1), двор",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4136
3735,Комплекс построек Бактериологической лаборатории Ветеринарного управления МВД (с оградой),Жилой дом,1905,гражд.инж. А.К. Монтаг,"Московский пр., 99; Ташкентская ул., б/№ (1), корпус по Ташкентской ул.",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4134
3736,Комплекс построек Бактериологической лаборатории Ветеринарного управления МВД (с оградой),Главное здание,1905,гражд.инж. А.К. Монтаг,"Московский пр., 99; Ташкентская ул., б/№ (1), угловой корпус",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4133
3737,,Ворота триумфальные Московские,1834-1838; 1958-1961 (восстановление),"ск. Орловский Б.И., арх. Стасов В.П.; арх. Капцюг И.Г., арх. Петрова Е.Н.","Московский пр., в створе Лиговского пр.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4097
3738,,Пожарное депо,1925-1926,арх. Бурышкин Д.П.,"Московский пр., д. 116, литера А",Московский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,4098
3739,,Столб верстовой,1772-1775,арх. Ринальди А.,"Московский пр., на углу Ташкентской ул.",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4024
3740,,Мясокомбинат им. С.М. Кирова (с оградой и теплоэлектроцентралью),1930-1933,"архитекторы Н.А. Троцкий, Р.Я. Зеликман, Б.П. Светлицкий","Московское шоссе, 13",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4162
3741,Мясокомбинат им. С.М. Кирова (с оградой и теплоэлектроцентралью),Мясокомбинат им. С.М. Кирова,1930-1933,"архитекторы Н.А. Троцкий, Р.Я. Зеликман, Б.П. Светлицкий","Московское шоссе, 13",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4163
3742,Мясокомбинат им. С.М. Кирова (с оградой и теплоэлектроцентралью),Теплоэлектроцентраль,1930-1933,"архитекторы Н.А. Троцкий, Р.Я. Зеликман, Б.П. Светлицкий","Московское шоссе, 13",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4164
3743,Мясокомбинат им. С.М. Кирова (с оградой и теплоэлектроцентралью),Ограда,1930-1933,"архитекторы Н.А. Троцкий, Р.Я. Зеликман, Б.П. Светлицкий","Московское шоссе, 13",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4165
3744,,Скульптуры быков (две),1824-1827,ск. Демут-Малиновский В.И.,"Московское шоссе, 13",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4025
3745,,Памятник государственному деятелю Кирову С.М.,1937,ск. Томский Н.В.,"Московское шоссе, 13",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4026
3746,,Жилые дома Мясокомбината (2 здания),1936-1941,"архитекторы А.А. Юнгер, Н.Н. Лебедев, А.Н. Сибиряков","Московское шоссе, 14, корп.1; Московское шоссе, 16, корп.1",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4166
3747,Жилые дома Мясокомбината (2 здания),Здание 1,1936-1941,"архитекторы А.А. Юнгер, Н.Н. Лебедев, А.Н. Сибиряков","Московское шоссе, 14, корп.1",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4167
3748,Жилые дома Мясокомбината (2 здания),Здание 2,1936-1941,"архитекторы А.А. Юнгер, Н.Н. Лебедев, А.Н. Сибиряков","Московское шоссе, 16, корп.1",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4168
3749,,"Могила историка, педагога К.В. Кедрова (1827-1903)",,,"Новодевичье кладбище, Московский пр., 100, 8-я дорожка, у ограды кладбища",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 8-61 от 02.06.2006,,3968
3750,,Могила основоположника русской телеграфии и телефонии Н.Г. Писаревского (1821-1895),,,"Новодевичье кладбище, Московский пр., 100, между 19 и 20-1 дорожками, уч. 25",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 8-61 от 02.06.2006,,3969
3751,,Комплекс построек Главного газового завода Общества столичного освещения,1858-1910,"гражд. инж. Р.Б. Бернгард, арх. О.Г. фон Гиппиус и др.","Обводного кан. наб., 74",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4169
3752,Комплекс построек Главного газового завода Общества столичного освещения,Газгольдер,1884; 1910,автор не установлен,"Обводного кан. наб., 74, здание № 38",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4172
3753,Комплекс построек Главного газового завода Общества столичного освещения,Здание инспекции и мастеров,1870-е,"гражд. инж. Р.Б. Бернгард, арх. О.Г. фон Гиппиус","Обводного кан. наб., 74, здание № 40",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4174
3754,Комплекс построек Главного газового завода Общества столичного освещения,Газгольдер 1,1872,гражд. инж. Р.Б. Бернгард,"Обводного кан. наб., 74, здание № 58",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4170
3755,Комплекс построек Главного газового завода Общества столичного освещения,Газгольдер 2,1858-1860,"гражд. инж. Р.Б. Бернгард, арх. О.Г. фон Гиппиус","Обводного кан. наб., 74, здание № 59",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4171
3756,Комплекс построек Главного газового завода Общества столичного освещения,Заводоуправление,1870-е,гражд. инж. Р.Б. Бернгард,"Обводного кан. наб., 74, здание № 62",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4173
3757,,Газгольдер Главного газового завода Общества столичного освещения,1884,"арх. Бернгард В.Р., арх. Бернгард Р.Б.","Обводного кан. наб., 74",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4027
3758,,Электростанция  Общества электрического освещения 1886 года,"1900-1910, 1913-1915","инж. Б.Г. Галеркин, инж.-техн. Ф.И. Зауэр при участии гражд. инж. Э.Р. Ульмана","Обводного кан. наб., 76",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4175
3759,,"Здание водочного завода “Келлер и Ко”, с дымовой трубой (быв. дом Е.Т. Цолликофера)","1-я пол. 19 в.; 1866; 1881; 1883-1887, 1891-1893, 1897",автор не установлен; арх. Е. Т. Цолликофер; гражд. инж. П. П. Наранович; гражд. инж. М. Ф. Андерсин,"Обводного кан. наб., 92; Заозерная ул., 2",Московский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,4176
3760,,Здание Института инженеров Гражданского воздушного флота,1930-1933,"архитекторы Г.В. Майзель, Е.В. Цейтц, при участии Б.Я. Карамышева","Пилотов ул., д. 18, корпус 4, литера А",Московский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-110 от 13.03.2015,,4183
3761,,Столбы верстовые (шесть),1772-1775,арх. Ринальди А.,Пулковское шоссе,Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,10470
3762,,Обсерватория Пулковская,,,"Пулковское шоссе, 65",Московский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,4035
